Doctor id,Doctor Name,Specialization,Disease-treated,City,Review_text,Cost
42,dr-nadia-bashir,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",rawalpindi,"She is very Talented and Nice Doctor, She is very Talented and Nice Doctor, Amazing and very humble doctor. I will definitely recommend her. I felt very comfortable with her due to her friendly nature... , Amazing and very humble doctor. I will definitely recommend her. I felt very comfortable with her due to her friendly nature... , Nadia ma'am is very nice person. And and good doctor , Nadia ma'am is very nice person. And and good doctor , Such a wonderful,caring and friendly doctor she is..After having hydrafacial from her,I experienced hydrated,bright,plump and clear complexion..thank u so much dear.., Such a wonderful,caring and friendly doctor she is..After having hydrafacial from her,I experienced hydrated,bright,plump and clear complexion..thank u so much dear.., Dr Nadia Bashir is a visiting consultant dermatologist at Almas medical centre pindi road fathejung and she is highly appreciated here . 
I strongly recommend to consult her for ur skin ,hair, nail and cosmetological issues., Dr Nadia Bashir is a visiting consultant dermatologist at Almas medical centre pindi road fathejung and she is highly appreciated here . 
I strongly recommend to consult her for ur skin ,hair, nail and cosmetological issues., It was very good experience. There is no skin specialist doctor in our area. Doctor dealing was very nice and humble. I am very much satisfied, It was very good experience. There is no skin specialist doctor in our area. Doctor dealing was very nice and humble. I am very much satisfied, skilled doctor,concerned and polite behaviour., skilled doctor,concerned and polite behaviour., Very caring and professional doctor highly recommended for dermatological problems , Very caring and professional doctor highly recommended for dermatological problems , Dr. Nadia can work magic on all skintypes. My skin is extremely sensitive and keeping that in mind, she did my hydrafacial. The process was painless and the results are amazing. I will go back to her every month. Highly recommended to everyone. , Dr. Nadia can work magic on all skintypes. My skin is extremely sensitive and keeping that in mind, she did my hydrafacial. The process was painless and the results are amazing. I will go back to her every month. Highly recommended to everyone. , She is very kind her diagnosis is upto the mark..strongly recommended, She is very kind her diagnosis is upto the mark..strongly recommended, She is very kind her diagnosis is upto tje mark..strongly recommended, She is very kind her diagnosis is upto tje mark..strongly recommended, She is realy kind and her diagnosis is upto the mark..strongly recommended, She is realy kind and her diagnosis is upto the mark..strongly recommended, A very humble yet very professional dr with very good approach towards diagnosis.100 percent satisfied while recommending someone to her, A very humble yet very professional dr with very good approach towards diagnosis.100 percent satisfied while recommending someone to her, I visited her for melasma,open pores, acnes and scars. I was suffering from multiple skin issues. Within one and half month I found best results. I'm totally satisfied . , I visited her for melasma,open pores, acnes and scars. I was suffering from multiple skin issues. Within one and half month I found best results. I'm totally satisfied . , Fully satisfied with her diagnosis as well as treatment. Truly makes sure that the patient has all the queries sorted. Recommended for sure. , Fully satisfied with her diagnosis as well as treatment. Truly makes sure that the patient has all the queries sorted. Recommended for sure. , I had wonderful experience with Dr. Nadia ❤ 
As I was worried about my acne scars,I took treatment from many dermatologists but she treated me very well through microneedling, I am very glad to see the results , I had wonderful experience with Dr. Nadia ❤ 
As I was worried about my acne scars,I took treatment from many dermatologists but she treated me very well through microneedling, I am very glad to see the results , I was suffering from multiple SKin issues like freckles, pimples, open pores and fine lines around eyes. After getting 3 sessions of microneedling bb glow I found best results. Reasonable charges with best results. I'm totally satisfied and happy. She is very talented and nice doctor. , I was suffering from multiple SKin issues like freckles, pimples, open pores and fine lines around eyes. After getting 3 sessions of microneedling bb glow I found best results. Reasonable charges with best results. I'm totally satisfied and happy. She is very talented and nice doctor. , I was suffering from multiple skin diseases as freckles , pimples , open pores and loose skin. I visited doctor Nadia Bashir . I took three sessions of microneedling bb glow. Best results I found . Very talented , very professional and very nice doctor she is. Reasonable and affordable charges. , I was suffering from multiple skin diseases as freckles , pimples , open pores and loose skin. I visited doctor Nadia Bashir . I took three sessions of microneedling bb glow. Best results I found . Very talented , very professional and very nice doctor she is. Reasonable and affordable charges. , Dr nadia is very talented kind and  dedicated to her profession., Dr nadia is very talented kind and  dedicated to her profession., I am fully satisfied with her diagnosis and treatment as well. 
Will recommend you all to visit her and have your queries sorted. , I am fully satisfied with her diagnosis and treatment as well. 
Will recommend you all to visit her and have your queries sorted. , Highly qualified doctor with good communication skills ... Shows compassion towards patients and always prescribed the appropriate medicine. Totally recommended , Highly qualified doctor with good communication skills ... Shows compassion towards patients and always prescribed the appropriate medicine. Totally recommended , Dr Nadia was very humble and co-operative. Very professional attitude. Totally satisfied., Dr Nadia was very humble and co-operative. Very professional attitude. Totally satisfied., i visited for my daughter 
ma shaa ALLAH she is better now 
very kind Doctor 
, i visited for my daughter 
ma shaa ALLAH she is better now 
very kind Doctor 
, good check up i realy like it, good check up i realy like it, Satisfied, Satisfied, Fully Satisfied., Fully Satisfied., Satisfied, Satisfied",1500
43,dr-niaz-akbar,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",haripur,"Highly Recommended, I consulted Dr Niaz for my acne scars and am very much satisfied, Highly Recommended, I consulted Dr Niaz for my acne scars and am very much satisfied, Dr Niaz Akbar is a very knowledgeable and experienced dr., Dr Niaz Akbar is a very knowledgeable and experienced dr., Fully Satisfied, Recommended, Fully Satisfied, Recommended, Professional and kind Dr., Professional and kind Dr., Best dermatologist in Abbottabad, Best dermatologist in Abbottabad, very good doctor niaz akber, very good doctor niaz akber, Satisfactory visit, Satisfactory visit, Satisfied, Satisfied, Satisfied , Satisfied , Satisfied , Satisfied ",500
44,dr-noreen-malik,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",faisalabad,"highly recommended and satisfied, highly recommended and satisfied, she is very cooperative and best doctor... mere hair fall ka masla both zyda ho gya tha but dr noreen ne 2 months main hi mera hair fall control ker liya, she is very cooperative and best doctor... mere hair fall ka masla both zyda ho gya tha but dr noreen ne 2 months main hi mera hair fall control ker liya, Best Dermatologist in town ...she gives best services skin related issues I have got melasma and she dealt it very well, Best Dermatologist in town ...she gives best services skin related issues I have got melasma and she dealt it very well, MashaAllah...Very humble doctor and an experienced one ...i highly recommend her , MashaAllah...Very humble doctor and an experienced one ...i highly recommend her , Nice experience, Nice experience, Everything was perfectely done as per commitment, Everything was perfectely done as per commitment, Satisfied, Satisfied, Satisfied, Satisfied",1500
45,dr-qaisar-ansari,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",multan,"I have visited the doctor for PRP procedure and it goes really well. And now I am satisfied.  Great doctor in town., I have visited the doctor for PRP procedure and it goes really well. And now I am satisfied.  Great doctor in town., Very professional and great doctor., Very professional and great doctor., I m really satisfied, I m really satisfied",1000
46,dr-s-summaya-jamal,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",karachi,"Best dermatologist , Best dermatologist , She is the best consultant , She is the best consultant , I am very satisfied you are the best dermatologist doctor ?, I am very satisfied you are the best dermatologist doctor ?, She is an excellent Dr with a professional values, She is an excellent Dr with a professional values, We took appointment @ 8:30 but they make us waiting for 1 hour, We took appointment @ 8:30 but they make us waiting for 1 hour, She is very nice doctor, She is very nice doctor, Great Doctor, Great Doctor",1000
47,dr-sadaf-amin,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",lahore,"She is really humble and kind nice experience with her â¤, She is really humble and kind nice experience with her â¤, The best experience I had with a dermatologist. I live abroad and couldn't get an appointment for my daughter's skin issues due to the Covid-19 situation. I found Dr. Sadaf online at Marham and booked an appointment in a couple of minutes, indeed. Indeed it was easy to discuss the related symptoms and understand her recommendations; that she made understandable and approachable. Also, she customized the recommendations according to my location and environment. I would highly recommend her. 
I found Marham useful; however, some complicated TIMERs were running on the appointment page that I couldn't get what that was. I would say the Marham must make the patient waiting area more readable and understandable. Also, there are no guides on how this website works or how to call, or how the patient would be contacted; these ambiguities remained alive until Dr. Sadaf called me herself. As a client, I want some more info like how the whole appointment may go through; that is missing on the website. Also, there are not frequently asked questions section and a clear policy related to patients and doctor interaction or relationship.  Third, the login criteria are so complicated that scared and annoyed me for a while, please make it simple and accessible for everyone., The best experience I had with a dermatologist. I live abroad and couldn't get an appointment for my daughter's skin issues due to the Covid-19 situation. I found Dr. Sadaf online at Marham and booked an appointment in a couple of minutes, indeed. Indeed it was easy to discuss the related symptoms and understand her recommendations; that she made understandable and approachable. Also, she customized the recommendations according to my location and environment. I would highly recommend her. 
I found Marham useful; however, some complicated TIMERs were running on the appointment page that I couldn't get what that was. I would say the Marham must make the patient waiting area more readable and understandable. Also, there are no guides on how this website works or how to call, or how the patient would be contacted; these ambiguities remained alive until Dr. Sadaf called me herself. As a client, I want some more info like how the whole appointment may go through; that is missing on the website. Also, there are not frequently asked questions section and a clear policy related to patients and doctor interaction or relationship.  Third, the login criteria are so complicated that scared and annoyed me for a while, please make it simple and accessible for everyone., Very understanding well mannered dr listen ur problem patiently hope i will b cure by her treatment Ameen , Very understanding well mannered dr listen ur problem patiently hope i will b cure by her treatment Ameen , One of the best doctor., One of the best doctor., good â˜ºï¸, good â˜ºï¸, Very helpful Dr. She explained everything very well. , Very helpful Dr. She explained everything very well. , Cooperative , Cooperative , Very good communication. I recommend. , Very good communication. I recommend. , Excellent clinic environment , Excellent clinic environment , best ever experience with Dr sadaf Amin ... good conversation. very polite and nice Dr
, best ever experience with Dr sadaf Amin ... good conversation. very polite and nice Dr
, Nice experience , Nice experience ",1500
48,dr-sadia-mughese,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",bahawalpur,"Highly satisfied with the overall experience. Doctor sadia is vr well behaved n professional lady. I got a thorough examination n m vr happy i visited her for my problem., Highly satisfied with the overall experience. Doctor sadia is vr well behaved n professional lady. I got a thorough examination n m vr happy i visited her for my problem., A very co operative and best dermatologist...❤️, A very co operative and best dermatologist...❤️, Amazing, Amazing, It was a good experince. She is so kind and humble doctor., It was a good experince. She is so kind and humble doctor., It was a good experince., It was a good experince., The most poliet doctor in town!! Wonderful experience! Looking forward to more visits!! IA ♥️, The most poliet doctor in town!! Wonderful experience! Looking forward to more visits!! IA ♥️, The most poliet doctor in town!! Wonderful experience! Looking forward to more visits!! IA ♥️, The most poliet doctor in town!! Wonderful experience! Looking forward to more visits!! IA ♥️, She is experienced and very treats really well, She is experienced and very treats really well, She is experienced and very treats really well, She is experienced and very treats really well, I have not experienced yet but i have heard alot about dr. Sadia. Nd i wish me bhi ja sakun un se treatment ly sakun skin ka. Wo itni achi hain tb e log itna acha review krty hn, I have not experienced yet but i have heard alot about dr. Sadia. Nd i wish me bhi ja sakun un se treatment ly sakun skin ka. Wo itni achi hain tb e log itna acha review krty hn, Latest state of the art equipment gave me the best results. Very satisfied, Latest state of the art equipment gave me the best results. Very satisfied, Latest state of the art equipment, and a healthy environment with the best results.
Very satisfied, Latest state of the art equipment, and a healthy environment with the best results.
Very satisfied, Dr. sadia is very kind.
She is one of the most humble doctors.
100% recommended, Dr. sadia is very kind.
She is one of the most humble doctors.
100% recommended, Extremely satisfied.
Best doctor, Extremely satisfied.
Best doctor, Extremely satisfied.
Best doctor 
, Extremely satisfied.
Best doctor 
, She is the best dermatologist I've ever come across...A blessing for our town and so perfect with what she does always got amazing results and em satisfied with the acne treatment...Keep up the good work , She is the best dermatologist I've ever come across...A blessing for our town and so perfect with what she does always got amazing results and em satisfied with the acne treatment...Keep up the good work , She is great., She is great., One of the most humble doctors i have been to. Highly recommend. Treatment options are best and economical., One of the most humble doctors i have been to. Highly recommend. Treatment options are best and economical., Amazing Results. Acne gone almost completely. 
Totally Recommended, Amazing Results. Acne gone almost completely. 
Totally Recommended, Beet equipments, Beet equipments, Extremely satisfied. 
She's humble and has magic in her hands. Visible difference in ny skin after Hydra facial. Purely recommended, Extremely satisfied. 
She's humble and has magic in her hands. Visible difference in ny skin after Hydra facial. Purely recommended, Wonderful doctor with beet equipment in town
, Wonderful doctor with beet equipment in town
, Extremely satisfied.
She's sweet and has magic in her hands. Visible change in ny skin, Extremely satisfied.
She's sweet and has magic in her hands. Visible change in ny skin, She's wonderful and cooperative, She's wonderful and cooperative, very good, very good, Very humble i am 100% satisfied, Very humble i am 100% satisfied, I m vry happy amd satisfied
Dr sadia she is really nice and helpful, I m vry happy amd satisfied
Dr sadia she is really nice and helpful, Nice doctor very cooperative listen very carefully, Nice doctor very cooperative listen very carefully, All was good and satisfactory, All was good and satisfactory, She is soo sweeettt.., She is soo sweeettt.., Clinic environment was good and doctor is also very cooprative, Clinic environment was good and doctor is also very cooprative, very good doctor and very good treatment, very good doctor and very good treatment, Well done results of treatment, Well done results of treatment, The doctor was pretty friendly and satisfied us with her treatment. It's great that I went there. Had such a nice interaction with the doctor., The doctor was pretty friendly and satisfied us with her treatment. It's great that I went there. Had such a nice interaction with the doctor., It was my wonderful experience with the doctor 
She is very kind and listens to your words Carefully ❤, It was my wonderful experience with the doctor 
She is very kind and listens to your words Carefully ❤",500
49,dr-sami-ullah-khalil,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",peshawar,"Docter was very kind nd helping....., Docter was very kind nd helping.....",1500
50,dr-sana-younas,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",lahore,"Ive been her patient for a year..She’s a very nice, cooperative lady
She’’s always available for her patient’s consultation ... I am totally satisfied with her treatment ?? I’ll for sure recommend her for any kind of skin issue..., Ive been her patient for a year..She’s a very nice, cooperative lady
She’’s always available for her patient’s consultation ... I am totally satisfied with her treatment ?? I’ll for sure recommend her for any kind of skin issue..., Dr SANA has been instrumental in helping me deal with laser hair removel. I totally recommend dr Sana to any and every one!!!..., Dr SANA has been instrumental in helping me deal with laser hair removel. I totally recommend dr Sana to any and every one!!!..., One of finest and most qualified dermatologist in town !, One of finest and most qualified dermatologist in town !, Dr sana is one of the best dermatologists in lahore..she has very empathetic and positive attitude towards her patients. I went to her clinic with my father and i am very satisfied with her treatment and the way she counselled us. She has strong grip in her work..and i will surely recommend her to my friends and family. , Dr sana is one of the best dermatologists in lahore..she has very empathetic and positive attitude towards her patients. I went to her clinic with my father and i am very satisfied with her treatment and the way she counselled us. She has strong grip in her work..and i will surely recommend her to my friends and family. , Such a wonderful dermatologist she is .Keen and devoted to her work .I got treatment for pigmentation on face .and the results were amazing ..she listens carefully with  whole attention ,gives enough time and would do the best suitable treatment for your problem.
, Such a wonderful dermatologist she is .Keen and devoted to her work .I got treatment for pigmentation on face .and the results were amazing ..she listens carefully with  whole attention ,gives enough time and would do the best suitable treatment for your problem.
, Satisfied, Satisfied, Such a nice doctor and great job time bhi ziada dia or treatment bhi achi ki, Such a nice doctor and great job time bhi ziada dia or treatment bhi achi ki, Listened to my problem and was adept at using technology with video consultation., Listened to my problem and was adept at using technology with video consultation., Highly recommended
She is one of the best dermatologist in Lahore., Highly recommended
She is one of the best dermatologist in Lahore., Great experience with Dr. Sana Younas,
Such a professional tone he adopted throughout the conversation.
My wife was having acne and pigmentation issue since 2016. We tried our level best to find the best doctor but acne were not controlling properly. Then we got to know about Dr. Sana Younas via Marham Find a Doctor. I can say she is one of the best dermatologist in Lahore. She will treat you like her own family member. 
Thank you Dr. Sana Younas.
I'm looking forward to next consultation with Sana Younas for my wife., Great experience with Dr. Sana Younas,
Such a professional tone he adopted throughout the conversation.
My wife was having acne and pigmentation issue since 2016. We tried our level best to find the best doctor but acne were not controlling properly. Then we got to know about Dr. Sana Younas via Marham Find a Doctor. I can say she is one of the best dermatologist in Lahore. She will treat you like her own family member. 
Thank you Dr. Sana Younas.
I'm looking forward to next consultation with Sana Younas for my wife., She is knowledgeable in her field.
Recommended doctor, She is knowledgeable in her field.
Recommended doctor, I found Dr.Sana Younus quite professional , polite and concerned about her patients.Great Dermatologist with an excellent manner....Highly Recommended, I found Dr.Sana Younus quite professional , polite and concerned about her patients.Great Dermatologist with an excellent manner....Highly Recommended, Highly Recommend Dr. Sana video consultation for all your skin and laser needs. Dr. Sana and her team are so welcoming and lovely to deal with, went through the whole skin problems in detail. Thanks. Stay Safe.., Highly Recommend Dr. Sana video consultation for all your skin and laser needs. Dr. Sana and her team are so welcoming and lovely to deal with, went through the whole skin problems in detail. Thanks. Stay Safe.., I have found her soft humbel and cooperative , I have found her soft humbel and cooperative , I have found her soft humbel and cooperative , I have found her soft humbel and cooperative , She treat me according to my desire , She treat me according to my desire , She is one of the best dermatologist in lahore , She is one of the best dermatologist in lahore , Meri Beti in Se treatment krwa re ha bht achi doc han,,,,behaviour bht polite  ha,,,,, Meri Beti in Se treatment krwa re ha bht achi doc han,,,,behaviour bht polite  ha,,,,, One of the best dermatologist in town my cousin visited her she is very polite and responsible dr , One of the best dermatologist in town my cousin visited her she is very polite and responsible dr , One of finest and most qualified dermatologist in town !, One of finest and most qualified dermatologist in town !, I’m super satisfied with Dctor Sana Yonus., I’m super satisfied with Dctor Sana Yonus., Good Experience with Dr.Sana, Good Experience with Dr.Sana, She is very professional in het appraoch.Diagnosis is excelent, She is very professional in het appraoch.Diagnosis is excelent, very affective., very affective., I'm very Happy and satisfied. she's a very good and Sweet dermatologist., I'm very Happy and satisfied. she's a very good and Sweet dermatologist., Have a excellent examination time with Dr Sana Younas, she was very polite and respectful, i am satisfied., Have a excellent examination time with Dr Sana Younas, she was very polite and respectful, i am satisfied., Amazing experience with a such gorgeous doctor. I'm fully satisfied with the diagnosis and prescription. Highly recommend, Amazing experience with a such gorgeous doctor. I'm fully satisfied with the diagnosis and prescription. Highly recommend, first experience of online consultation is very good and hope next will be good, first experience of online consultation is very good and hope next will be good, Nice to consult with Dr Sana., Nice to consult with Dr Sana., Great experience.., Great experience.., She was very friendly and helpful, She was very friendly and helpful, Great experience.. I am fully satisfied with the consultation with Dr. Sana, Great experience.. I am fully satisfied with the consultation with Dr. Sana, thanks so much, thanks so much, Doctor  attitude is very good Mara Maps is not good at all, Doctor  attitude is very good Mara Maps is not good at all, she is very copratting and also a good doctor, she is very copratting and also a good doctor, Doctor has checked very well .attitude is also very good, Doctor has checked very well .attitude is also very good, She is a really nice ,and helpful and concerned doctor ,was really happy to consult her.i surely recommend her for others as well., She is a really nice ,and helpful and concerned doctor ,was really happy to consult her.i surely recommend her for others as well., The staff was lazy
It’s bit costly consultation 1500 could have been better, The staff was lazy
It’s bit costly consultation 1500 could have been better, Excellent visit., Dr. Sana Yunus is a confident, caring, informative provider that I have complete faith and trust in. My care has been top-notch, and I am grateful for your service., Excellent visit., Dr. Sana Yunus is a confident, caring, informative provider that I have complete faith and trust in. My care has been top-notch, and I am grateful for your service., Very cooperative doctor, Very cooperative doctor, Just love the she speak and am totally satisfied after talkin to My doctor., Just love the she speak and am totally satisfied after talkin to My doctor.",500
51,dr-sara-naeem,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",gujranwala,"I have done my hydrafacial from dr sara very effective. , I have done my hydrafacial from dr sara very effective. , It was effective, It was effective, I had done my laser treatment for Hair removal and it goes very well., I had done my laser treatment for Hair removal and it goes very well., My nails are used to be very weak.I visit her and had done Nails Treatment and now my nails are growing and are strong., My nails are used to be very weak.I visit her and had done Nails Treatment and now my nails are growing and are strong., satisfief, satisfief, satisfief, satisfief, Satisfied, Satisfied, Recovered Alhamdulillah , Recovered Alhamdulillah , Recovered Alhamdulillah , Recovered Alhamdulillah , I am satisfied by dr sabha treatment. 
I'm fully recovered. ALHUMDOLILLAH , I am satisfied by dr sabha treatment. 
I'm fully recovered. ALHUMDOLILLAH , Very good doctor , Very good doctor , I'm totally satisfied 
, I'm totally satisfied 
, Very good result I really feel very well, Very good result I really feel very well, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, I m totally satisfied, Yes I m totally satisfied, Yes I m totally satisfied, Very good doctor. well cooperative.im satisfied., Very good doctor. well cooperative.im satisfied., Very good doctor. well cooperative.im satisfied., Very good doctor. well cooperative.im satisfied., Too much satisfaction, Too much satisfaction, V good, V good, The doctor was really cooperative. She guided me well., The doctor was really cooperative. She guided me well., very nice and helpful doctor, very nice and helpful doctor, Good, Good, Good, Good, Everything is good, Everything is good, I am very satisfied by her treatment. She is very kind lady., I am very satisfied by her treatment. She is very kind lady., A well recommended and appreciable service, A well recommended and appreciable service, Good, Good, Dr sara.. kind person❤️, Dr sara.. kind person❤️",1500
52,dr-sumera-memon,dermatologist,"Acne, Fungal Infection, Allergy, Impetigo, Varicose veins",karachi,"I was having very bad thoughts regarding my dark complexion. After consulting Dr Sumera, I didn't lose hope of getting skin whitening treatment. . I am really grateful for her skin whitening treatment that she give cofidence again., I was having very bad thoughts regarding my dark complexion. After consulting Dr Sumera, I didn't lose hope of getting skin whitening treatment. . I am really grateful for her skin whitening treatment that she give cofidence again., Dr. Sumera Memon is very helpful, easy to communicate and friendly person & highly professional and knowledgeable doctor!, Dr. Sumera Memon is very helpful, easy to communicate and friendly person & highly professional and knowledgeable doctor!, She is really nice with the patient and the way she speaks and take the patient is quite impressive Highly recommended, She is really nice with the patient and the way she speaks and take the patient is quite impressive Highly recommended, A true professional that listens and has a discussion with the patient about the course of treatment., A true professional that listens and has a discussion with the patient about the course of treatment., Dr. Sumera Memon is so friendly and excellent service., Dr. Sumera Memon is so friendly and excellent service., He is very cooperative humble doctor he has good knowledge about his work guide properly, He is very cooperative humble doctor he has good knowledge about his work guide properly, Kind and helpful staff, Helped me to feel comfortable with the many visits I have to come for., Kind and helpful staff, Helped me to feel comfortable with the many visits I have to come for., Very sweet Dr. She listened to me, and called me two days later to follow-up, and ask how I was feeling., Very sweet Dr. She listened to me, and called me two days later to follow-up, and ask how I was feeling., Dr. Sumera listened to my concerns. She was thorough and professional., Dr. Sumera listened to my concerns. She was thorough and professional., The Best! Great attention, incredible energy and disposition Just the best one Dr., The Best! Great attention, incredible energy and disposition Just the best one Dr., She is very cooperative humble doctor she has good knowledge about her work guide properly, She is very cooperative humble doctor she has good knowledge about her work guide properly, She is really a great and caring doctor, She is really a great and caring doctor, Doctor was so good and patient. No long wainting time and over all experience was very good. Reccomendation 100%, Doctor was so good and patient. No long wainting time and over all experience was very good. Reccomendation 100%, Amazing! Dr. Sumera Memon is very professional, understanding, and beyond kind, Amazing! Dr. Sumera Memon is very professional, understanding, and beyond kind, Nice experience, Nice experience, Awesome clean Clinic- did not have to wait! . Dr was also very helpful and professional. Would definitely recommend., Awesome clean Clinic- did not have to wait! . Dr was also very helpful and professional. Would definitely recommend., Dr.Sumera Memon was extremely experienced, well informed, friendly and nice. Would definitely recommend the Dr.Sumera Memon., Dr.Sumera Memon was extremely experienced, well informed, friendly and nice. Would definitely recommend the Dr.Sumera Memon., it was Fine..., it was Fine..., Very professional, easy to talk to. Great bedside manner and knowledgeable provider. Highly recommend, Very professional, easy to talk to. Great bedside manner and knowledgeable provider. Highly recommend, I am very satisfied with her treatment, I am very satisfied with her treatment, The check up was good and also the doctor was good, The check up was good and also the doctor was good, Dr Sumera was really accomodating and listened to my problems very intently.. she told me the cause of my problem and told me what the problem is which no doctor ever has told me.. plus she is really nice and so is the staff there.., Dr Sumera was really accomodating and listened to my problems very intently.. she told me the cause of my problem and told me what the problem is which no doctor ever has told me.. plus she is really nice and so is the staff there.., Nice and caring personality, Nice and caring personality, great and very convenient approach, great and very convenient approach, Very good doctor and explaining more about my issue, Very good doctor and explaining more about my issue, Great Experience, Great Experience, Absolutely brilliant. Listened to what I had to say and used her experience to explain the condition perfectly. Couldn't have asked for a better experience., Absolutely brilliant. Listened to what I had to say and used her experience to explain the condition perfectly. Couldn't have asked for a better experience., Highly recommended. Dr. Sumera Memon Listens to patients problems in detail and suggests best treatment., Highly recommended. Dr. Sumera Memon Listens to patients problems in detail and suggests best treatment., MASHALLAH I am satisfied Highly recommended after the first assessment. Humble, great listener, happy to come back!, MASHALLAH I am satisfied Highly recommended after the first assessment. Humble, great listener, happy to come back!, Yes - very satisfied with commendable results and services. Dr. Sumera Memon is the best I would say. I will definitely recommend her and i must say she has a vast knowledge., Yes - very satisfied with commendable results and services. Dr. Sumera Memon is the best I would say. I will definitely recommend her and i must say she has a vast knowledge., The clinic Environment was neat and clean ! i am happy with my checkup ., The clinic Environment was neat and clean ! i am happy with my checkup ., Dr. Sumera Memon is a very competent doctor. She treated me with care , compassion and respect. I would recommend her to all my family and friends., Dr. Sumera Memon is a very competent doctor. She treated me with care , compassion and respect. I would recommend her to all my family and friends., I definitely recommend seeing her !, I definitely recommend seeing her !, the experience was good and the treatment of patience was very friendly, the experience was good and the treatment of patience was very friendly, It is a very clean and hygienic clinic. Doctors are nice and humble. Staff is very helping., It is a very clean and hygienic clinic. Doctors are nice and humble. Staff is very helping., It was amazing experience and very qualified doctor and very polite behavior, It was amazing experience and very qualified doctor and very polite behavior, Would recommend Dr. Sumera Memon, Would recommend Dr. Sumera Memon, Dr. Sumera is soft spoken, very cooperative , councils the patient in detail & gives right treatment, also does the follow-ups, Dr. Sumera is soft spoken, very cooperative , councils the patient in detail & gives right treatment, also does the follow-ups, very humble and nice doctor., very humble and nice doctor., Good experience Doc was friendly, Good experience Doc was friendly, She was extremely methodical with her treatment. She educates the patient with respect to their symptoms and gives honest treatment clearly mentioning about side effects if any. Amazing professionalism!, She was extremely methodical with her treatment. She educates the patient with respect to their symptoms and gives honest treatment clearly mentioning about side effects if any. Amazing professionalism!, m satisfied with this, m satisfied with this, Very satisfied with dr..will defiently recommend video consultation.., Very satisfied with dr..will defiently recommend video consultation.., its good, its good, Very well satisfied with the dr.., Very well satisfied with the dr.., Overall good experience.., Overall good experience.., Satisfied with treatment .. explaining the problem well. wait time is less .. she can easily make out what is the problem and giving correct treatment, Satisfied with treatment .. explaining the problem well. wait time is less .. she can easily make out what is the problem and giving correct treatment",1500
